Gene	K562 CS	K562 adjusted p-value
TGFBR1	0.272	0.082051912
HCN4	0.272	0.21958808
SYT14	0.272	0.185973939
DPM1	0.272	0.043569682
CBLN1	0.272	0.38080866
FCRL2	0.272	0.342529049
ITGB5	0.272	0.305845607
CALCA	0.272	0.208437667
PRAP1	0.272	0.339188961
NID2	0.272	0.281289468
NUPR1L	0.272	0.404290898
ZC3H12C	0.272	0.463255039
TMEM156	0.273	0.140558297
DEFB132	0.273	0.09098776
MEOX2	0.273	0.078856867
ZNF345	0.273	0.110534929
CACHD1	0.274	0.384309528
IGFBP3	0.274	0.363124865
GBA	0.274	0.27527113
ACAD11	0.274	0.394026309
PPARGC1A	0.274	0.409473186
ADARB2	0.274	0.446082999
SNX2	0.274	0.071200176
LY6K	0.274	0.239498668
HSPA4	0.274	0.57098342
RERGL	0.274	0.083182098
ARSF	0.275	0.187953787
CD1A	0.275	0.353745432
GIMAP2	0.275	0.582313459
SH3KBP1	0.275	0.290610838
LYZL6	0.275	0.076859542
ASB3	0.275	0.226201897
PPP1R42	0.276	0.178938648
CYP51A1	0.276	0.081531293
OMD	0.276	0.084626015
C3orf58	0.276	0.404177056
MAGEA3	0.276	0.216896206
LAMP2	0.276	0.401135873
TRA2A	0.276	0.295020967
POU1F1	0.276	0.178938648
ZNF699	0.276	0.463255039
MFF	0.277	0.159632079
ADCYAP1	0.277	0.19774885
SPATS1	0.277	0.117438931
PRELID2	0.277	0.088531702
SIRPB1	0.277	0.495779632
SFTPA1	0.277	0.240001357
NINJ1	0.277	0.194362641
TMEM9B	0.277	0.402104266
ZNF132	0.277	0.104198756
HSPA4L	0.277	0.563351497
INSL4	0.277	0.293824819
ZNF443	0.277	0.489519955
KRT10	0.278	0.522034503
IQCH	0.278	0.418620735
DNAH6	0.278	0.117504777
SPIN3	0.278	0.274647348
DCP1B	0.278	0.375995964
FAM173A	0.278	0.03147778
PIRT	0.278	0.274422169
RBP7	0.278	0.189808701
CCL15	0.278	0.228120812
SLC25A4	0.278	0.170846578
ACOT9	0.278	0.369084287
BEND2	0.278	0.453442492
CELA3A	0.279	0.497585306
UBE2Q1	0.279	0.156890711
DLC1	0.279	0.197919303
HEPH	0.279	0.266453713
CCDC91	0.279	0.182782623
ASB17	0.279	0.561735163
MAP2	0.279	0.138330639
PIGA	0.279	0.20055542
HCRTR2	0.279	0.206845049
ADORA2B	0.280	0.406399423
FBXO8	0.280	0.178025137
GPR35	0.280	0.38499366
KLHL13	0.280	0.100477754
RRAGB	0.280	0.308778055
METTL21A	0.280	0.118764693
GABRG2	0.280	0.440906247
ADAM29	0.281	0.228120812
GPR15	0.281	0.350591832
POSTN	0.281	0.492291933
DCSTAMP	0.281	0.245792606
ZNF157	0.281	0.056045743
TNFSF10	0.281	0.657099695
TSN	0.281	0.509001196
SLC35F1	0.281	0.392209644
WDR59	0.281	0.364537388
SNAI1	0.281	0.314930032
UBTD2	0.281	0.433941658
AHR	0.282	0.105593162
BCL2L14	0.282	0.254299072
VEGFC	0.282	0.149175136
ZNF765	0.282	0.337995321
PPP3R2	0.282	0.215747208
ANO3	0.282	0.46190402
PRLR	0.282	0.160561053
BTK	0.282	0.229347857
FCGR3A	0.282	0.386713978
IFI44L	0.282	0.444763302
PFDN4	0.282	0.464494699
CYP27A1	0.282	0.397709336
TRIM22	0.282	0.451645712
GABRQ	0.282	0.289577416
FRY	0.283	0.026746351
ZG16B	0.283	0.41230828
TSPAN13	0.283	0.291165854
SPRR4	0.283	0.315401928
BRWD1	0.283	0.246553231
C12orf60	0.283	0.181344535
WDR17	0.283	0.183374789
TSC22D3	0.283	0.306703012
NPL	0.283	0.295020967
STX12	0.283	0.138815681
SESTD1	0.283	0.351432572
CTXN3	0.283	0.069012456
DCT	0.283	0.009911888
TMEM141	0.283	0.222717688
ZNF616	0.283	0.147234291
CTGF	0.283	0.356188354
KMO	0.284	0.276045124
ZNF644	0.284	0.402911315
BST1	0.284	0.274761147
CASP8	0.284	0.076819954
KIAA1239	0.284	0.092190342
DCAF12L1	0.284	0.211526667
ACSL5	0.284	0.399343583
MSH3	0.284	0.166569152
PYY	0.284	0.374618236
ABCB8	0.284	0.230358971
RRAS2	0.285	0.13213024
KHDC1	0.285	0.134542901
OSR1	0.285	0.508473837
CFD	0.285	0.295924634
ATG4A	0.285	0.094985063
ADAM9	0.285	0.182356235
MRC1	0.285	0.180225692
TBX22	0.285	0.166885701
UPK1B	0.285	0.203917024
BRK1	0.285	0.492291933
GFI1	0.285	0.218274389
BMPR1A	0.286	0.127344426
IFT80	0.286	0.094166303
DUSP4	0.286	0.068276186
UGDH	0.286	0.084909841
IFLTD1	0.286	0.393170068
ZNF800	0.286	0.142782299
PCDHB10	0.286	0.202403904
SNX16	0.286	0.303342298
PPAPDC1A	0.286	0.305469128
D2HGDH	0.286	0.292422159
SLITRK3	0.286	0.268009543
KRBOX1	0.286	0.048680213
ZNF18	0.286	0.191573132
PDE6H	0.287	0.424290911
SCML2	0.287	0.336381153
FCRLA	0.287	0.176013
VKORC1	0.287	0.22723121
MEGF9	0.287	0.232445138
ITM2C	0.287	0.28969652
ZNF416	0.287	0.073018459
ZSCAN32	0.287	0.072238822
TIMM17B	0.288	0.242383976
HEPACAM	0.288	0.387753085
PAIP1	0.288	0.135947026
B4GALT4	0.288	0.383262929
CDC34	0.288	0.155136406
ATF2	0.288	0.410077633
MVB12B	0.288	0.511945973
ATP8B1	0.288	0.133902915
ASPH	0.288	0.129714912
SCUBE2	0.289	0.20396806
SLITRK4	0.289	0.298660372
OSGIN2	0.289	0.222717688
RASSF9	0.289	0.277518003
KLRK1	0.289	0.278858678
SMCP	0.289	0.086755963
VWA2	0.289	0.305351313
ALS2CR11	0.289	0.235010337
ENPP5	0.289	0.459806625
PDK3	0.289	0.242383976
ANKRA2	0.289	0.397318935
PSTPIP1	0.289	0.360532355
C19orf81	0.289	0.163459418
FAM118B	0.289	0.448256642
NANS	0.290	0.531932674
TMEM31	0.290	0.360983236
KRTAP19-4	0.290	0.184773807
GFPT2	0.290	0.106671528
KDELC1	0.290	0.096584483
STXBP6	0.290	0.238207943
ACYP1	0.290	0.193196348
IL5	0.290	0.079713652
AKAP14	0.290	0.295020967
CLYBL	0.290	0.311271971
PRAC1	0.290	0.420014285
IRGQ	0.290	0.149284021
HMGCLL1	0.290	0.474304402
RBM34	0.290	0.467033836
NPTN	0.290	0.428654573
TMPO	0.291	0.189808701
CTNNA2	0.291	0.421140973
RNFT1	0.291	0.397144675
SKP2	0.291	0.191099721
BAG5	0.291	0.115872767
EREG	0.291	0.12736952
NSMAF	0.291	0.242383976
SLC35B3	0.292	0.253208754
TP63	0.292	0.520465929
TRAT1	0.292	0.292422159
CCDC110	0.292	0.438270411
FGF6	0.292	0.489227967
TRAF6	0.292	0.428862591
CTPS2	0.292	0.187439906
TLR3	0.292	0.178445086
DNAL4	0.292	0.202717503
KRTAP9-3	0.292	0.425190862
C7orf69	0.292	0.145123222
HDHD1	0.292	0.288661257
KRTAP19-2	0.292	0.123209822
LDLRAD3	0.293	0.51277583
CDH13	0.293	0.270828988
ELL3	0.293	0.128672389
FREM1	0.293	0.509809352
ZNF234	0.293	0.537076932
CHRNA7	0.293	0.195790897
FUT9	0.293	0.315104018
SCAI	0.293	0.12736952
CCNG2	0.293	0.266760845
FABP3	0.293	0.58498794
FAM193A	0.293	0.255070375
LMAN1	0.293	0.039656165
NAA11	0.293	0.505198269
NAP1L2	0.294	0.310355597
ZNF182	0.294	0.361400617
SUSD1	0.294	0.542603646
KCTD9	0.294	0.25836073
DTD1	0.294	0.270285086
ENPP6	0.294	0.178938648
SYNE2	0.294	0.226201897
FAM189A1	0.294	0.088531702
CNGA2	0.294	0.277281348
KLRC2	0.294	0.226201897
USP50	0.294	0.360983236
EPPIN	0.294	0.466650502
PBK	0.294	0.295924634
KRT33B	0.294	0.277232931
TNFRSF10B	0.294	0.16423224
TM4SF18	0.295	0.397709336
BFSP2	0.295	0.360322488
CNKSR2	0.295	0.117438931
RCN2	0.295	0.118764693
TMSB10	0.295	0.260013736
SLC26A1	0.295	0.321970402
SAMD13	0.295	0.301945568
MPC1	0.295	0.068587256
DCTPP1	0.295	0.390650984
C8orf22	0.295	0.605161421
TCL1B	0.295	0.195393815
TRPC7	0.295	0.199273579
MRS2	0.295	0.351977934
GPR135	0.295	0.331524699
IL2RG	0.296	0.32320806
IL20RB	0.296	0.098746998
C2orf54	0.296	0.439329847
PPIC	0.296	0.350726958
SDK1	0.296	0.25910679
STK32B	0.296	0.217329221
DCAF16	0.297	0.045433416
ZNF703	0.297	0.08201486
GRTP1	0.297	0.428862591
RTP2	0.297	0.047171516
INIP	0.297	0.298866008
C20orf85	0.297	0.325967542
EPB41L5	0.297	0.54026269
TTC32	0.297	0.098521839
RUFY3	0.297	0.260709489
FAM76A	0.297	0.190807351
SPATA7	0.297	0.092939991
UCP1	0.297	0.142569811
CCPG1	0.297	0.22723121
TMEM18	0.297	0.21133139
EIF2AK2	0.297	0.447528369
VAMP3	0.297	0.135432586
ZBED6	0.297	0.247262772
ITGB8	0.298	0.359816677
KCNK13	0.298	0.538846618
EPDR1	0.298	0.140558297
SUMO4	0.298	0.110809476
MAGI1	0.298	0.268754954
TMEM212	0.298	0.228120812
FKBP14	0.298	0.251893987
GNAL	0.298	0.216735837
ZBTB33	0.298	0.157671188
PLEKHA1	0.298	0.399037567
PIGW	0.298	0.377679273
ACAA2	0.298	0.163147167
RPP25L	0.299	0.262925419
PDLIM7	0.299	0.204193209
ZMYM5	0.299	0.544361689
ZNF285	0.299	0.312075208
SPANXN1	0.299	0.499795837
RBAK	0.299	0.204841907
SP2	0.299	0.258076245
SCP2D1	0.299	0.229347857
ZNF654	0.299	0.186505569
RNF208	0.299	0.560228267
GPATCH2L	0.299	0.240812951
ATP1B4	0.299	0.288599274
ZNF189	0.300	0.470461281
CDKN2A	0.300	0.106671528
CYP11B1	0.300	0.236105122
PDZD4	0.300	0.119414468
TEKT3	0.300	0.060791238
CDC42SE2	0.300	0.178938648
PDC	0.300	0.17183368
RBM10	0.300	0.065473781
IFIT3	0.300	0.32699304
TNFSF8	0.300	0.316297682
CSPP1	0.301	0.07977946
VIPAS39	0.301	0.214182346
MYL5	0.301	0.218414054
CASP12	0.301	0.144551314
PBDC1	0.301	0.099740277
HINT3	0.301	0.077191727
ZNF587B	0.301	0.32320806
NETO1	0.301	0.068973731
SLC17A2	0.301	0.266453713
FAM3A	0.301	0.342125269
HRH2	0.301	0.127679186
PCDHA8	0.301	0.367904072
CDX1	0.301	0.189083779
BTBD6	0.302	0.328204205
REG3A	0.302	0.231088148
UGT2B17	0.302	0.174928883
NUBPL	0.302	0.277518003
RCAN2	0.302	0.17642423
ADAMDEC1	0.302	0.211826948
PEX11A	0.302	0.388816757
NDUFAF7	0.302	0.197919303
C14orf79	0.302	0.23152929
C9orf171	0.302	0.196588171
CLK4	0.302	0.21170414
FAM19A4	0.302	0.163459418
UGT2B4	0.302	0.402911315
MTX2	0.302	0.458974841
UHMK1	0.303	0.233907967
PDP1	0.303	0.076026095
C1orf105	0.303	0.065742461
GPR156	0.303	0.044328929
MBNL2	0.303	0.38080866
ANKRD50	0.303	0.149552328
BPHL	0.303	0.409931001
ZNF19	0.303	0.328855023
ABCB6	0.304	0.431957822
GSTCD	0.304	0.303120964
S100A7	0.304	0.181344535
PXMP4	0.304	0.336423882
MYL1	0.304	0.096888936
EAF2	0.304	0.045894321
NXF5	0.304	0.084440664
KIAA1737	0.304	0.178938648
TOX3	0.305	0.349662833
SLC9A9	0.305	0.25082167
ZNF93	0.305	0.200613903
EGFR	0.305	0.436523593
TNFRSF11A	0.305	0.297015117
SLC36A3	0.305	0.220059929
YY2	0.305	0.189106297
SLC25A15	0.305	0.268754954
LIPN	0.305	0.361972515
CHST2	0.305	0.331432604
MAPK12	0.305	0.304126183
CXorf21	0.305	0.201231574
KATNA1	0.306	0.225414115
HAPLN1	0.306	0.284465321
HOMER1	0.306	0.124239202
NIPA2	0.306	0.252086578
CCDC129	0.306	0.188254158
PCDH18	0.306	0.242480487
NDUFAF4	0.306	0.526601048
ACN9	0.306	0.461666515
BTBD8	0.306	0.200077625
FAM196B	0.306	0.287126221
PRAMEF22	0.307	0.373048076
SAMD15	0.307	0.339188961
EEF1E1	0.307	0.029026568
GSTZ1	0.307	0.191573132
UROS	0.307	0.135564859
WFDC11	0.307	0.14658789
BOD1L2	0.307	0.129980134
DTWD2	0.307	0.391477543
ZC3H12B	0.307	0.187439906
ARMC8	0.307	0.223843114
ZNF611	0.307	0.120921184
GNA14	0.307	0.114032764
BRDT	0.307	0.371890822
C16orf74	0.308	0.688064169
HINT2	0.308	0.347788324
PGA3	0.308	0.23788931
CCKAR	0.308	0.106671528
PDYN	0.308	0.171394186
KRTAP23-1	0.308	0.350547684
LRTOMT	0.308	0.048570935
LENEP	0.308	0.311327968
MOCS2	0.308	0.397401009
RSPH3	0.308	0.138699717
SERP1	0.308	0.528744489
COL14A1	0.308	0.120519828
MMP27	0.308	0.686672564
FAM83C	0.308	0.281351815
ANXA5	0.309	0.271720103
DSTYK	0.309	0.214533391
CADPS2	0.309	0.420524243
AKIRIN1	0.309	0.402911315
CDH9	0.309	0.166490042
CEP135	0.309	0.20938598
CNBP	0.309	0.325060654
TSHZ2	0.309	0.117216737
NUTM2G	0.309	0.348740747
NSUN7	0.309	0.27201511
ARHGEF38	0.309	0.19774885
RILP	0.309	0.275609082
CDKN1C	0.310	0.386713978
ST6GALNAC5	0.310	0.412310825
TFAP2A	0.310	0.292422159
SCRT2	0.310	0.277232931
POM121	0.310	0.400820409
NEUROD6	0.310	0.15631878
CPO	0.310	0.291585768
KRTAP6-2	0.310	0.083833376
PDGFRA	0.311	0.315877132
SMIM9	0.311	0.15329238
ZNF558	0.311	0.116799975
NUDT6	0.311	0.357882968
CCL1	0.311	0.224636668
FAM9C	0.311	0.174063089
GPR64	0.311	0.242480487
HN1L	0.311	0.078289453
LAP3	0.311	0.184773807
PRR5	0.311	0.123138852
SCNN1G	0.311	0.308024236
DYNLL2	0.311	0.073375819
CLDN2	0.311	0.110360288
C3orf70	0.312	0.15329238
RASSF8	0.312	0.418620735
KIAA0895	0.312	0.225687696
NPY2R	0.312	0.163486062
EPHA5	0.312	0.20880212
LRRC19	0.312	0.110360288
USP17L17	0.312	0.364182454
PSD3	0.312	0.277232931
NPVF	0.312	0.402104266
GLYCTK	0.313	0.043154891
IL13RA1	0.313	0.133902915
SULT1A1	0.313	0.065620685
TMX3	0.313	0.067939472
FAM179B	0.313	0.330176596
C1orf87	0.313	0.364537388
HES6	0.313	0.170358185
PHLDA2	0.313	0.350608686
FOXB2	0.313	0.470898507
CYP2C9	0.313	0.330787512
MYOD1	0.313	0.140558297
NT5DC2	0.313	0.117958564
DGKD	0.313	0.08247437
DUXA	0.313	0.65930017
PPP2R5A	0.313	0.014175159
SH2D1B	0.313	0.291165854
UBL3	0.313	0.277281348
PRR21	0.313	0.295020967
CCSER1	0.313	0.085274261
RAB11A	0.313	0.185686577
FNDC8	0.313	0.228423135
RPTN	0.314	0.331384482
ZNF609	0.314	0.227351515
PFN3	0.314	0.075248219
CPB1	0.314	0.182782623
TUSC5	0.314	0.40474791
ZNF277	0.314	0.235162991
PCSK1N	0.314	0.090944334
RUNX1T1	0.314	0.49571209
TAS2R14	0.314	0.350114729
IGJ	0.314	0.3994242
RAB14	0.314	0.071200176
WDR16	0.314	0.418620735
USP45	0.314	0.451319195
ARL4C	0.314	0.060037187
PBX3	0.314	0.132495447
SHISA9	0.315	0.251489834
CCL2	0.315	0.018221545
NEDD9	0.315	0.335884269
TMPRSS11A	0.315	0.226201897
ISM1	0.315	0.039821999
RHOBTB2	0.315	0.539054557
SOWAHD	0.315	0.111935783
LY6D	0.316	0.360983236
MEP1A	0.316	0.270828988
LGALSL	0.316	0.193425223
FOLH1	0.316	0.237561227
AZU1	0.316	0.499323175
MANSC1	0.316	0.222743289
SLC26A2	0.316	0.092762964
CD52	0.316	0.501688856
DTHD1	0.316	0.074014853
ZIC1	0.316	0.083350686
CITED1	0.316	0.457677461
KCNRG	0.316	0.335219528
KBTBD12	0.316	0.426797244
CPS1	0.317	0.11820981
LPPR5	0.317	0.073378517
TMEM56	0.317	0.190310446
BTC	0.317	0.158156134
CYBB	0.317	0.101667677
RANBP17	0.317	0.444601137
C10orf68	0.317	0.295020967
WDR72	0.317	0.238363863
SMPX	0.317	0.258871572
ASMT	0.317	0.154921299
ING1	0.317	0.107678972
ARFIP2	0.317	0.257897379
UBXN2A	0.317	0.235162991
CXCR1	0.318	0.209154275
KRTAP10-6	0.318	0.552536384
PTPRD	0.318	0.117958564
SYAP1	0.318	0.20396806
APOBEC4	0.318	0.100936439
EOGT	0.318	0.193524573
MNS1	0.318	0.056045743
ST18	0.318	0.4177099
UBE2B	0.318	0.392622922
EFCAB3	0.318	0.239498668
ZNF555	0.318	0.126407842
GPR115	0.318	0.186298428
AMN1	0.318	0.392045666
DZIP1	0.318	0.284897751
CDH10	0.319	0.189808701
CFHR2	0.319	0.201835761
FAM45A	0.319	0.236675887
C9orf41	0.319	0.068973731
LECT2	0.319	0.083305626
OPN3	0.319	0.317175895
HSD17B2	0.319	0.280005457
LPPR4	0.319	0.193425223
ADCY2	0.319	0.066379425
N4BP2L1	0.319	0.293824819
RAC1	0.319	0.199042863
RIPPLY1	0.319	0.062981021
LACE1	0.319	0.036196655
DPY19L4	0.319	0.500452394
HMBOX1	0.319	0.484833098
PITPNA	0.320	0.064647273
ZDHHC11	0.320	0.041802172
MESP1	0.320	0.260013736
ZNF253	0.320	0.172294085
SEPT2	0.320	0.112352109
TMEM136	0.320	0.097950242
TSLP	0.320	0.16132764
TINAG	0.320	0.180225692
LCE4A	0.320	0.353868416
MPV17L	0.320	0.234036693
MAGEF1	0.321	0.20760378
C4orf51	0.321	0.145346388
SMCO3	0.321	0.293824819
TPK1	0.321	0.072238822
TRPC6	0.321	0.163607127
C4orf36	0.321	0.287079244
RNF170	0.321	0.12215311
RPUSD1	0.321	0.275214999
MKX	0.321	0.107688566
REG1A	0.321	0.221608344
NLGN4Y	0.322	0.017377954
KLHL8	0.322	0.093556675
S100A7A	0.322	0.259584527
CCDC109B	0.322	0.1686483
MORN2	0.322	0.173199238
FABP12	0.322	0.106993162
PCDHB13	0.322	0.015077959
UBFD1	0.322	0.214952732
C6orf201	0.322	0.172740533
ZNF83	0.322	0.160561053
CTHRC1	0.322	0.091243766
PDS5B	0.322	0.203917024
SBSPON	0.323	0.049237674
TSPAN19	0.323	0.274440629
ATP8A1	0.323	0.16133391
MMP1	0.323	0.369100151
SPANXA1	0.323	0.200077625
SPANXA2	0.323	0.200077625
DAPK1	0.323	0.268176608
ANTXR2	0.323	0.187572407
NDST4	0.323	0.448256642
CDKL1	0.324	0.325854234
FGF20	0.324	0.138815681
NSDHL	0.324	0.317819351
SPINK7	0.324	0.307664553
CSTB	0.324	0.301945568
MTHFS	0.324	0.338626248
SPG20	0.324	0.055366386
TMPRSS11D	0.324	0.113436811
SMIM10	0.324	0.620552305
KIAA1919	0.324	0.052077098
IL1RAPL2	0.324	0.2192597
DPRX	0.324	0.317175895
CXCL2	0.324	0.129714912
GDI2	0.324	0.133902915
SAV1	0.325	0.344264903
CSMD1	0.325	0.095787709
N4BP2L2	0.325	0.139404221
TMEM261	0.325	0.150281365
TRMT2B	0.325	0.202947111
CDH20	0.325	0.304245719
CHIT1	0.325	0.303120964
PNLIPRP3	0.325	0.481592453
HLA-DRB1	0.325	0.111593541
AGTPBP1	0.325	0.160759916
TMEM74	0.325	0.591021741
CHRNB3	0.325	0.291165854
FABP2	0.326	0.52232018
PNPLA8	0.326	0.416603189
UBE2F	0.326	0.176182122
C4orf17	0.326	0.091970288
DUSP3	0.326	0.341348242
PRB1	0.326	0.223843114
MYL9	0.327	0.083182098
TUSC3	0.327	0.395013027
PELI2	0.327	0.303346099
PLCL1	0.327	0.078782231
VPS8	0.327	0.343278977
TRIML2	0.327	0.16578238
TROVE2	0.327	0.246553231
CEP170	0.328	0.088558423
FBP2	0.328	0.23152929
LRRK2	0.328	0.344264903
OCIAD1	0.328	0.257897379
TRPM6	0.328	0.107771145
EYA1	0.328	0.288599274
TRAF3	0.328	0.103762596
CASC1	0.328	0.418982934
TMEM144	0.328	0.065094524
TYRP1	0.328	0.10048634
KCNJ14	0.328	0.302158529
GLYATL2	0.329	0.193973979
SLC7A1	0.329	0.240354149
GYPE	0.329	0.20055542
IDS	0.329	0.37045911
PHF11	0.329	0.04617032
C10orf129	0.329	0.170854027
ADH1A	0.329	0.026847217
ZNF770	0.329	0.313563066
ABHD17A	0.330	0.061274895
TMEM71	0.330	0.303342298
UBD	0.330	0.106671528
SKAP2	0.330	0.119176812
MPST	0.330	0.225801206
NRG1	0.330	0.196588171
SZT2	0.330	0.5901602
GULP1	0.330	0.351808305
USP40	0.330	0.090944334
VSTM2A	0.330	0.332143309
ZNF334	0.330	0.115872767
LRRC27	0.330	0.207915699
GLRA2	0.331	0.426797244
TTLL11	0.331	0.20695155
HNF4G	0.331	0.19340612
PPM1K	0.331	0.244538577
SLCO5A1	0.331	0.118672462
NRN1	0.331	0.042206161
GLRA4	0.331	0.170846578
MYO1D	0.331	0.213449059
OSBPL8	0.332	0.090944334
TWIST1	0.332	0.304918941
ZNF668	0.332	0.028994202
IRAK3	0.332	0.189580021
OSTN	0.332	0.17531366
GPR1	0.332	0.370151041
CLEC7A	0.332	0.288599274
NR0B1	0.332	0.16423224
PIK3C2A	0.333	0.270828988
UGT1A10	0.333	0.07291667
HOPX	0.333	0.205601823
C3orf30	0.333	0.059678133
PDE6B	0.333	0.279154645
TFF1	0.334	0.131769696
LRPAP1	0.334	0.146241642
RAB19	0.334	0.032621057
ST3GAL6	0.334	0.105743334
RGS19	0.334	0.042206161
CTLA4	0.334	0.211826948
YIPF1	0.334	0.367904072
FAM9A	0.334	0.315705602
SLC37A3	0.334	0.199456683
VNN1	0.334	0.073375819
SEPT14	0.335	0.343571239
STON2	0.335	0.13213024
DEFB123	0.335	0.461195987
ENTPD5	0.335	0.071688737
SERPINB8	0.335	0.129519857
C7orf62	0.335	0.132495447
XKR9	0.335	0.189073819
FER	0.335	0.102636782
HAND2	0.335	0.052855517
TEX29	0.335	0.465307579
GADD45G	0.336	0.121744249
BMPR1B	0.336	0.422533466
GLIPR1L1	0.336	0.210800721
SCARF1	0.336	0.482417626
FBXW10	0.336	0.065496499
TCEANC	0.336	0.089121436
CCDC14	0.336	0.155189787
CCL7	0.336	0.112211937
DPPA5	0.336	0.403987959
GLI3	0.336	0.330176596
C7orf66	0.336	0.016036511
ZNF727	0.337	0.088297028
BTBD3	0.337	0.16132764
RDH11	0.337	0.349373066
TECTB	0.337	0.420325561
C1orf68	0.337	0.313554818
EFNB2	0.337	0.11820981
GNG4	0.337	0.102981419
ORM2	0.337	0.020789449
HTR2B	0.337	0.049959366
CCNA1	0.338	0.012334228
STYK1	0.338	0.377679273
VWDE	0.338	0.055366386
CBLB	0.338	0.254093734
TEX26	0.338	0.2045759
DKK3	0.338	0.265689066
RFWD2	0.338	0.182782623
ZNF658	0.338	0.144083553
KCNE1L	0.338	0.236706872
CYP2U1	0.338	0.518572412
IFI16	0.338	0.279154645
BCL11B	0.339	0.348830935
STS	0.339	0.237562592
GPR65	0.339	0.199042863
FOXP2	0.339	0.050476353
BFAR	0.339	0.456467927
LIPH	0.339	0.068488698
MANBA	0.339	0.199042863
SETDB2	0.339	0.132883786
ATP1A4	0.339	0.149175136
FOXD3	0.339	0.115872767
STOM	0.340	0.113539425
DAGLB	0.340	0.107202823
PIH1D3	0.340	0.163607127
LRRC17	0.341	0.288671743
DNAJB9	0.341	0.573170146
RGS17	0.341	0.262492304
RASL10B	0.341	0.228506326
DNAJC15	0.341	0.307164075
FDXACB1	0.341	0.35822949
PTH2R	0.341	0.280005457
CLRN3	0.341	0.14242245
LDHAL6B	0.341	0.426263239
STOML1	0.341	0.305845607
SRA1	0.341	0.417049069
BHLHE23	0.342	0.058800803
GNG11	0.342	0.320509327
CHMP1B	0.342	0.32699304
NAALADL2	0.342	0.138791694
RBM18	0.342	0.093556675
GSTA5	0.342	0.214307967
CES3	0.342	0.284503787
SPATA16	0.342	0.217192479
PKDREJ	0.342	0.20695155
MEF2A	0.342	0.132609476
PDE5A	0.342	0.268021632
CMBL	0.343	0.291165854
C12orf79	0.343	0.20396806
PGA4	0.343	0.23788931
OTC	0.343	0.033855167
LY96	0.343	0.182583051
NFXL1	0.343	0.173929965
ZNF670	0.343	0.099909544
SPOPL	0.343	0.078856867
C1GALT1	0.343	0.189808701
RAET1L	0.343	0.384377948
PCDHA10	0.343	0.246560372
ASB15	0.343	0.189106297
SPTLC3	0.343	0.182782623
KRTAP20-3	0.343	0.360983236
LMO3	0.344	0.055004969
C7orf76	0.344	0.081470011
SEL1L2	0.344	0.174155642
ZMAT4	0.344	0.218104044
TAS2R50	0.344	0.219105275
ADAMTS15	0.344	0.429630089
ADAMTS19	0.344	0.235619714
USP17L10	0.345	0.038228993
FAM175A	0.345	0.086755963
PIK3C2G	0.345	0.101576218
NHLRC3	0.345	0.136537038
TMEM159	0.345	0.140479788
OTX2	0.345	0.053341385
STK24	0.345	0.106163377
KERA	0.345	0.285667304
MT3	0.345	0.295832204
PLSCR4	0.345	0.357097917
NOX1	0.346	0.174928883
ABHD17C	0.346	0.407089571
PAM	0.346	0.139954928
GPER1	0.346	0.114173058
PRSS37	0.346	0.270285086
CCNJ	0.346	0.211155448
AK3	0.346	0.05849224
MAGEB18	0.346	0.115980509
ARMCX5	0.346	0.018619386
MID1	0.346	0.344264903
ZNF260	0.346	0.234620878
YTHDC2	0.347	0.426166581
TAB2	0.347	0.236259952
CSTL1	0.347	0.128854056
TBPL1	0.347	0.453500183
ZNF514	0.347	0.29259293
IL7	0.347	0.237980548
CD180	0.347	0.089659701
CDCA2	0.347	0.251134594
F7	0.347	0.284897751
ST8SIA4	0.347	0.179437374
FSBP	0.347	0.132883786
PDCL2	0.347	0.45946367
SLC25A36	0.347	0.336458028
ABCB5	0.348	0.105593162
MTUS1	0.348	0.112132029
TSC22D2	0.348	0.451319195
DEFB124	0.348	0.232707744
KLHDC1	0.348	0.087924906
SCXA	0.348	0.371698845
SCXB	0.348	0.371698845
CDH18	0.349	0.331681863
MAGEB16	0.349	0.43490684
IGSF6	0.349	0.02372414
AMACR	0.349	0.029209755
CD80	0.349	0.200613903
GBE1	0.349	0.172208304
ADH4	0.349	0.185973939
DEPDC7	0.349	0.34279311
OPN5	0.350	0.281351815
GPR141	0.350	0.275609082
KIAA1586	0.350	0.317819351
ZNF626	0.350	0.173929965
KLHL24	0.350	0.292422159
MIPOL1	0.350	0.101576218
YWHAB	0.350	0.060791238
CYP2S1	0.350	0.291785912
FYN	0.350	0.171394186
C12orf66	0.350	0.268995369
RAD21L1	0.351	0.185666349
CUL4A	0.351	0.186505569
RMDN2	0.351	0.048944616
HADH	0.352	0.41673723
RECQL	0.352	0.185374041
NPSR1	0.352	0.176755509
ZNF12	0.352	0.135436515
PHYHIPL	0.352	0.189083779
ABHD13	0.352	0.190021104
ACOT1	0.352	0.103293934
RAP1GDS1	0.352	0.126407842
RETNLB	0.352	0.132609476
PARP16	0.352	0.308778055
SLITRK2	0.352	0.045586205
PLGRKT	0.353	0.092190342
GUCY2C	0.353	0.221608798
SPANXC	0.353	0.136201041
RIMKLB	0.353	0.052351881
C3orf43	0.353	0.156252728
UGT3A1	0.353	0.21170414
TMEM106B	0.353	0.105984624
CDX4	0.353	0.116760661
FAM188A	0.354	0.082188471
RNF148	0.354	0.134843807
SLC7A13	0.354	0.198881409
